YEAR,FOUR-DIGIT INDUSTRY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX, NUMBER ,
2008,4812 NONSCHEDULED AIR TRANSPORTATION,"$4,824,096","$1,957,962","$127,377","$1,941","$129,318", 12 ,
2008,4821 RAIL TRANSPORTATION,"$82,572,158","$11,050,035","$719,124","$5,916,844","$6,635,968", 19 ,
2008,4830 WATER TRANSPORTATION,"$12,248,363","$6,183,246","$423,678","$54,999","$478,677", 24 ,
2008,4840 TRUCK TRANSPORTATION,"$252,720,846","$12,659,266","$823,571","$787,585","$1,611,156", 459 ,
2008,4841 GENERAL FREIGHT TRUCKING,"$1,072,986,837","$56,598,890","$3,708,006","$1,152,681","$4,860,687", 851 ,
2008,4842 SPECIALIZED FREIGHT TRUCKING,"$914,125,087","$23,226,265","$1,509,708","$580,333","$2,090,041", 405 ,
2008,4850 TRANSIT & GROUND PASSENGER TRANSPORTATION,"$99,762,780","$5,438,583","$364,156","$82,063","$446,219", 48 ,
2008,4851 URBAN TRANSIT SYSTEMS,"$7,299,926","$33,585","$2,184","$12,367","$14,551", 6 ,
2008,4852 INTERURBAN & RURAL BUS TRANSPORTATION,"$25,007,433","$628,628","$40,862","$33,107","$73,969", 4 ,
2008,4853 TAXI & LIMOUSINE SERVICE,"$11,220,445","$656,890","$42,701","$14,541","$57,242", 30 ,
2008,4854 SCHOOL & EMPLOYEE BUS TRANSPORTATION,"$106,151,230","$3,035,275","$197,291","$61,254","$258,545", 49 ,
2008,4855 CHARTER BUS INDUSTRY,"$17,036,494","$38,006","$2,471","$39,704","$42,175", 13 ,
2008,4859 OTHER TRANSIT & GROUND PASSENGER TRANSPORTATION,"$30,057,992","$4,295,253","$366,649","$14,997","$381,646", 22 ,
2008,4860 PIPELINE TRANSPORTATION,"$77,185,408","$1,879,456","$122,163","$1,081,684","$1,203,847", 16 ,
2008,4861 PIPELINE TRANSPORTATION OF CRUDE OIL,"$44,078","$44,078","$2,865","$751,421","$754,286", 11 ,
2008,"4872 SCENIC & SIGHTSEEING TRANSPORTATION, WATER","$1,553,856","$931,487","$65,291",$443,"$65,734", 8 ,
2008,4881 SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,"$133,621,844","$9,726,129","$632,206","$42,757","$674,963", 52 ,
2008,4882 SUPPORT ACTIVITIES FOR RAIL TRANSPORTATION,"$16,170,460","$240,322","$15,621","$154,557","$170,178", 7 ,
2008,4883 SUPPORT ACTIVITIES FOR WATER TRANSPORTATION,"$15,204,038","$2,733,159","$177,655","$3,437","$181,092", 6 ,
2008,4884 SUPPORT ACTIVITIES FOR ROAD TRANSPORTATION,"$191,152,844","$84,610,676","$5,499,877","$47,648","$5,547,525", 469 ,
2008,4885 FREIGHT TRANSPORTATION ARRANGEMENT,"$90,134,925","$847,112","$55,067","$19,486","$74,553", 28 ,
2008,4889 OTHER SUPPORT ACTIVITIES FOR TRANSPORTATION,"$91,494,157","$5,310,856","$345,209","$160,134","$505,343", 36 ,
2008,4921 COURIERS,"$2,742,427","$332,037","$21,583","$1,695","$23,278", 11 ,
2008,4922 LOCAL MESSENGERS & LOCAL DELIVERY,"$57,940,297","$4,030,184","$263,014","$43,833","$306,847", 38 ,
2008,4931 WAREHOUSING & STORAGE,"$93,875,019","$7,064,050","$459,165","$95,398","$554,563", 93 ,
2008,"5111 NEWSPAPER, PERIODICAL, BOOK, & DIRECTORY PUBLISHERS","$819,226,240","$37,681,592","$2,449,304","$429,277","$2,878,581", 484 ,
2008,5112 SOFTWARE PUBLISHERS,"$411,766,545","$103,444,236","$6,723,873","$189,740","$6,913,613", 204 ,
2008,5121 MOTION PICTURE & VIDEO INDUSTRIES,"$193,437,594","$99,069,545","$6,443,714","$107,913","$6,551,627", 354 ,
2008,5122 SOUND RECORDING INDUSTRIES,"$11,242,498","$2,586,453","$168,119","$1,040","$169,159", 51 ,
2008,5151 RADIO & TELEVISION BROADCASTING,"$96,556,542","$33,299,418","$2,164,460","$470,342","$2,634,802", 102 ,
2008,5152 CABLE & OTHER SUBSCRIPTION PROGRAMMING,"$635,959,024","$448,672,524","$29,163,721","$477,427","$29,641,148", 56 ,
2008,5161 INTERNET PUBLISHING & BROADCASTING,"$25,756,732","$772,594","$50,219","$1,565","$51,784", 40 ,
2008,5170 TELECOMMUNICATIONS,"$4,658,131,693","$3,792,430,391","$246,507,996","$2,179,650","$248,687,646", 797 ,
2008,5171 WIRED TELECOMMUNICATIONS CARRIERS,"$55,199,157","$26,179,550","$1,701,668","$1,027","$1,702,695", 24 ,
2008,5172 WIRELESS TELECOMMUNICATIONS CARRIERS (EXCEPT SATELLITE),"$22,047,797","$10,614,914","$689,970","$7,541","$697,511", 32 ,
2008,5173 TELECOMMUNICATIONS RESELLERS,"$27,108,874","$14,890,986","$967,912",$504,"$968,416", 26 ,
2008,5174 SATELLITE TELECOMMUNICATIONS,"$270,122,679","$268,714,182","$17,466,420","$83,536","$17,549,956", 4 ,
2008,5179 OTHER TELECOMMUNICATIONS,"$102,013,398","$37,090,111","$2,410,859","$134,225","$2,545,084", 10 ,
2008,5181 INTERNET SERVICE PROVIDERS & WEB SEARCH PORTALS,"$27,449,875","$3,554,654","$231,050","$65,397","$296,447", 35 ,
2008,"5182 DATA PROCESSING, HOSTING, & RELATED SERVICES","$2,104,397,723","$344,793,894","$22,411,614","$736,174","$23,147,788", 750 ,
2008,5190 OTHER INFORMATION SERVICES,"$1,015,200,247","$707,857,551","$46,010,741","$554,197","$46,564,938", 228 ,
2008,5191 OTHER INFORMATION SERVICES,"$1,482,139,401","$315,566,857","$20,517,766","$2,404,873","$22,922,639"," 1,413 ",
2008,5221 DEPOSITORY CREDIT INTERMEDIATION,"$355,592,095","$22,760,200","$1,479,420","$2,160,230","$3,639,650", 547 ,
2008,5222 NONDEPOSITORY CREDIT INTERMEDIATION,"$373,692,179","$172,031,071","$11,182,045","$122,794","$11,304,839", 227 ,
2008,5223 ACTIVITIES RELATED TO CREDIT INTERMEDIATION,"$81,047,648","$3,486,661","$226,635","$26,398","$253,033", 76 ,
2008,5231 SECURITIES & COMMODITY CONTRACTS INTERMEDIATION & BROKERAGE,"$43,752,113","$7,127,560","$463,291","$4,455,390","$4,918,681", 91 ,
2008,5239 OTHER FINANCIAL INVESTMENT ACTIVITIES,"$114,175,758","$4,447,288","$295,100","$37,722","$332,822", 124 ,
2008,5241 INSURANCE CARRIERS,"$1,380,200,126","$5,947,134","$386,563","$2,671,286","$3,057,849", 105 ,
2008,"5242 AGENCIES, BROKERAGES, & OTHER INSURANCE RELATED ACTIVITIES","$656,830,191","$5,702,811","$370,712","$460,370","$831,082", 394 ,
2008,5251 INSURANCE & EMPLOYEE BENEFIT FUNDS,"$3,098,106","$1,596,023","$103,741","$3,467","$107,208", 4 ,
2008,5259 OTHER INVESTMENT POOLS & FUNDS,"$29,378,496","$24,649,610","$1,602,219","$40,085","$1,642,304", 34 ,
2008,5310 REAL ESTATE,"$314,982,071","$91,356,939","$5,951,911","$661,730","$6,613,641", 721 ,
2008,5311 LESSORS OF REAL ESTATE,"$190,534,596","$31,622,899","$2,073,698","$67,790","$2,141,488", 432 ,
2008,5312 OFFICES OF REAL ESTATE AGENTS & BROKERS,"$133,773,158","$15,831,320","$1,035,013","$43,153","$1,078,166", 181 ,
2008,5313 ACTIVITIES RELATED TO REAL ESTATE,"$158,387,989","$21,493,992","$1,426,723","$118,955","$1,545,678", 325 ,
2008,5320 RENTAL & LEASING SERVICES,"$6,795,990","$5,763,600","$374,635","$22,686","$397,321", 7 ,
2008,5321 AUTOMOTIVE EQUIPMENT RENTAL & LEASING,"$500,787,097","$432,715,758","$40,588,271","$482,021","$41,070,292", 326 ,
2008,5322 CONSUMER GOODS RENTAL,"$1,050,955,913","$690,382,079","$46,123,395","$415,457","$46,538,852"," 1,123 ",
2008,5323 GENERAL RENTAL CENTERS,"$53,638,165","$34,852,662","$2,269,008","$9,086","$2,278,094", 92 ,
2008,5324 COMMERCIAL & INDUSTRIAL MACHINERY & EQUIPMENT RENTAL & LEASING,"$549,925,103","$347,507,819","$22,625,480","$348,721","$22,974,201", 511 ,
2008,5331 LESSORS OF NONFINANCIAL INTANGIBLE ASSETS (EXCEPT COPYRIGHTED WORKS),"$13,479,856","$7,598,857","$493,924","$303,026","$796,950", 13 ,
2008,5411 LEGAL SERVICES,"$825,078,115","$1,989,312","$129,317","$522,194","$651,511", 620 ,
2008,"5412 ACCOUNTING, TAX PREPARATION, BOOKKEEPING, & PAYROLL SERVICES","$853,362,128","$17,551,489","$1,140,846","$517,229","$1,658,075", 751 ,
2008,"5413 ARCHITECTURAL, ENGINEERING, & RELATED SERVICES","$1,237,335,987","$42,740,437","$2,778,141","$1,235,821","$4,013,962", 798 ,
2008,5414 SPECIALIZED DESIGN SERVICES,"$427,080,232","$113,327,001","$7,366,287","$269,886","$7,636,173"," 1,602 ",
2008,5415 COMPUTER SYSTEMS DESIGN & RELATED SERVICES,"$2,574,684,526","$445,628,080","$28,966,098","$2,013,701","$30,979,799"," 1,583 ",
2008,"5416 MANAGEMENT, SCIENTIFIC, & TECHNICAL CONSULTING SERVICES","$2,311,330,593","$176,456,839","$11,518,246","$1,081,044","$12,599,290"," 1,863 ",
2008,5417 SCIENTIFIC RESEARCH & DEVELOPMENT SERVICES,"$411,213,940","$13,845,243","$899,941","$3,608,710","$4,508,651", 124 ,
2008,5418 ADVERTISING & RELATED SERVICES,"$1,637,245,866","$71,565,032","$4,651,738","$1,140,959","$5,792,697", 771 ,
2008,"5419 OTHER PROFESSIONAL, SCIENTIFIC, & TECHNICAL SERVICES","$1,360,256,523","$357,771,319","$23,296,596","$3,507,395","$26,803,991"," 3,512 ",
2008,5510 MANAGEMENT OF COMPANIES & ENTERPRISES,"$121,411,395","$23,439,655","$1,523,579","$177,568","$1,701,147", 105 ,
2008,5511 MANAGEMENT OF COMPANIES & ENTERPRISES,"$294,048,117","$31,760,735","$2,072,891","$287,314","$2,360,205", 121 ,
2008,5611 OFFICE ADMINISTRATIVE SERVICES,"$81,800,362","$6,028,382","$396,774","$194,553","$591,327", 89 ,
2008,5612 FACILITIES SUPPORT SERVICES,"$35,531,024","$16,472,503","$1,070,717","$79,972","$1,150,689", 38 ,
2008,5613 EMPLOYMENT SERVICES,"$255,255,768","$3,304,137","$214,779","$35,332","$250,111", 159 ,
2008,5614 BUSINESS SUPPORT SERVICES,"$2,297,963,848","$345,548,912","$22,486,177","$3,866,530","$26,352,707"," 2,231 ",
2008,5615 TRAVEL ARRANGEMENT & RESERVATION SERVICES,"$126,169,819","$31,824,319","$2,069,229","$779,864","$2,849,093", 132 ,
2008,5616 INVESTIGATION & SECURITY SERVICES,"$336,481,975","$217,779,048","$14,155,637","$1,044,350","$15,199,987", 383 ,
2008,5617 SERVICES TO BUILDINGS & DWELLINGS,"$1,517,359,467","$931,339,170","$60,538,062","$921,169","$61,459,231"," 7,119 ",
2008,5619 OTHER SUPPORT SERVICES,"$334,427,359","$85,903,977","$5,584,120","$268,220","$5,852,340", 318 ,
2008,5620 WASTE MANAGEMENT & REMEDIATION SERVICES,"$268,774,475","$3,566,306","$231,816","$120,113","$351,929", 145 ,
2008,5621 WASTE COLLECTION,"$376,834,542","$1,882,671","$122,362","$381,044","$503,406", 165 ,
2008,5622 WASTE TREATMENT & DISPOSAL,"$43,870,204","$180,468","$11,734","$50,712","$62,446", 17 ,
2008,5629 REMEDIATION & OTHER WASTE MANAGEMENT SERVICES,"$84,739,199","$4,451,457","$289,345","$89,943","$379,288", 81 ,
2008,6110 EDUCATIONAL SERVICES,"$93,265,098","$5,464,756","$355,414","$65,663","$421,077", 272 ,
2008,6111 ELEMENTARY & SECONDARY SCHOOLS,"$49,114,776","$11,997,826","$779,857","$60,870","$840,727", 344 ,
2008,6112 JUNIOR COLLEGES,"$5,742,166","$2,445,167","$158,934",$0,"$158,934", 6 ,
2008,"6113 COLLEGES, UNIVERSITIES, & PROFESSIONAL SCHOOLS","$312,634,566","$46,039,179","$2,995,912","$166,153","$3,162,065", 103 ,
2008,6114 BUSINESS SCHOOLS & COMPUTER & MANAGEMENT TRAINING,"$23,265,326","$4,455,127","$289,589","$9,135","$298,724", 40 ,
2008,6115 TECHNICAL & TRADE SCHOOLS,"$28,379,137","$6,376,138","$414,478","$76,644","$491,122", 44 ,
2008,6116 OTHER SCHOOLS & INSTRUCTION,"$117,315,963","$9,214,215","$599,203","$51,164","$650,367", 360 ,
2008,6117 EDUCATIONAL SUPPORT SERVICES,"$12,623,236","$327,662","$21,300","$69,110","$90,410", 39 ,
2008,6211 OFFICES OF PHYSICIANS,"$2,483,208,672","$11,097,942","$721,362","$2,301,101","$3,022,463", 539 ,
2008,6212 OFFICES OF DENTISTS,"$693,232,294","$1,913,861","$124,404","$275,571","$399,975", 783 ,
2008,6213 OFFICES OF OTHER HEALTH PRACTITIONERS,"$640,261,919","$30,387,536","$1,975,234","$161,539","$2,136,773"," 2,119 ",
2008,6214 OUTPATIENT CARE CENTERS,"$937,021,802","$13,033,117","$847,153","$1,194,302","$2,041,455", 449 ,
2008,6215 MEDICAL & DIAGNOSTIC LABORATORIES,"$240,428,885","$4,355,327","$283,099","$1,811,659","$2,094,758", 72 ,
2008,6216 HOME HEALTH CARE SERVICES,"$267,868,829","$2,987,235","$194,339","$44,280","$238,619", 93 ,
2008,6219 OTHER AMBULATORY HEALTH CARE SERVICES,"$139,396,608","$1,290,894","$83,906","$44,562","$128,468", 46 ,
2008,6220 HOSPITALS,"$906,656,282","$30,888,502","$2,007,758","$352,311","$2,360,069", 67 ,
2008,6221 GENERAL MEDICAL & SURGICAL HOSPITALS,"$3,462,329,792","$43,047,094","$2,798,070","$216,949","$3,015,019", 81 ,
2008,6230 NURSING & RESIDENTIAL CARE FACILITIES,"$68,424,638","$3,161,442","$205,489","$38,324","$243,813", 174 ,
2008,6231 NURSING CARE FACILITIES,"$72,031,592","$2,323,379","$151,019","$63,939","$214,958", 120 ,
2008,"6232 RESIDENTIAL MENTAL RETARDATION, MENTAL HEALTH & SUBSTANCE ABUSE FACILITIES","$52,586,866","$1,385,440","$90,053","$5,833","$95,886", 17 ,
2008,6233 COMMUNITY CARE FACILITIES FOR THE ELDERLY,"$26,271,371","$694,004","$45,200","$17,513","$62,713", 30 ,
2008,6239 OTHER RESIDENTIAL CARE FACILITIES,"$89,309,435","$326,068","$21,194","$3,274","$24,468", 44 ,
2008,6241 INDIVIDUAL & FAMILY SERVICES,"$15,311,890","$2,344,851","$152,413","$14,518","$166,931", 112 ,
2008,"6242 COMMUNITY FOOD & HOUSING, & EMERGENCY & OTHER RELIEF SERVICES","$771,111","$309,843","$20,140",$7,"$20,147", 6 ,
2008,6243 VOCATIONAL REHABILITATION SERVICES,"$109,550,487","$8,817,710","$573,158","$10,386","$583,544", 89 ,
2008,6244 CHILD DAY CARE SERVICES,"$78,168,135","$469,299","$30,503","$89,053","$119,556", 121 ,
2008,"7110 PERFORMING ARTS, SPECTATOR SPORTS, & RELATED INDUSTRIES","$16,834,756","$6,675,831","$444,544","$9,254","$453,798", 128 ,
2008,7111 PERFORMING ARTS COMPANIES,"$20,746,345","$14,729,648","$1,060,622","$36,106","$1,096,728", 100 ,
2008,7112 SPECTATOR SPORTS,"$238,844,788","$217,043,122","$14,123,091","$237,422","$14,360,513", 112 ,
2008,"7113 PROMOTERS OF PERFORMING ARTS, SPORTS, & SIMILAR EVENTS","$34,582,029","$29,560,253","$1,984,468","$21,976","$2,006,444", 77 ,
2008,"7114 AGENTS & MANAGERS FOR ARTISTS, ATHLETES, ENTERTAINERS, & OTHER PUBLIC FIGURES","$6,521,845","$2,170,822","$152,214",$193,"$152,407", 25 ,
2008,"7115 INDEPENDENT ARTISTS, WRITERS, & PERFORMERS","$28,272,928","$9,105,819","$592,056","$8,617","$600,673"," 1,139 ",
2008,"7121 MUSEUMS, HISTORICAL SITES, & SIMILAR INSTITUTIONS","$30,059,831","$19,036,849","$1,257,725","$1,014","$1,258,739", 171 ,
2008,7131 AMUSEMENT PARKS & ARCADES,"$64,527,991","$61,138,459","$3,998,215","$89,083","$4,087,298", 53 ,
2008,7132 GAMBLING INDUSTRIES,"$556,850,805","$519,710,301","$34,003,107","$366,241","$34,369,348", 19 ,
2008,7139 OTHER AMUSEMENT & RECREATION INDUSTRIES,"$1,072,183,665","$870,536,173","$58,435,021","$654,718","$59,089,739"," 2,195 ",
2008,7211 TRAVELER ACCOMMODATION,"$1,841,471,969","$1,702,200,077","$112,409,515","$1,249,751","$113,659,266"," 2,125 ",
2008,7212 RV (RECREATIONAL VEHICLE) PARKS & RECREATIONAL CAMPS,"$44,554,139","$26,970,428","$1,787,969","$52,943","$1,840,912", 341 ,
2008,7213 ROOMING & BOARDING HOUSES,"$4,717,500","$2,333,882","$151,708","$3,966","$155,674", 63 ,
2008,7220 FOOD SERVICES & DRINKING PLACES,"$6,364,890","$5,542,086","$369,131","$16,147","$385,278", 33 ,
2008,7221 FULL-SERVICE RESTAURANTS,"$4,363,599,042","$4,172,757,666","$286,290,676","$1,645,395","$287,936,071"," 5,787 ",
2008,7222 LIMITED-SERVICE EATING PLACES,"$1,666,074,915","$1,599,405,535","$104,468,680","$706,532","$105,175,212"," 2,935 ",
2008,7223 SPECIAL FOOD SERVICES,"$517,767,989","$327,730,125","$22,214,886","$172,033","$22,386,919", 982 ,
2008,7224 DRINKING PLACES (ALCOHOLIC BEVERAGES),"$672,581,744","$649,329,273","$51,347,824","$299,618","$51,647,442"," 1,546 ",
2008,8110 REPAIR & MAINTENANCE,"$4,351,832","$1,027,810","$66,808","$23,370","$90,178", 7 ,
2008,8111 AUTOMOTIVE REPAIR & MAINTENANCE,"$1,854,208,432","$838,843,181","$54,538,878","$882,728","$55,421,606"," 5,255 ",
2008,8112 ELECTRONIC & PRECISION EQUIPMENT REPAIR & MAINTENANCE,"$154,595,430","$41,385,914","$2,690,104","$909,523","$3,599,627", 602 ,
2008,8113 COMMERCIAL & INDUSTRIAL MACHINERY & EQUIPMENT (EXCEPT AUTOMOTIVE & ELECTRONIC) REPAIR & MAINTENANCE,"$450,251,311","$88,784,126","$5,770,993","$376,953","$6,147,946", 531 ,
2008,8114 PERSONAL & HOUSEHOLD GOODS REPAIR & MAINTENANCE,"$452,931,614","$127,437,375","$8,284,125","$337,812","$8,621,937"," 2,799 ",
2008,8121 PERSONAL CARE SERVICES,"$676,542,886","$256,136,541","$16,653,765","$600,898","$17,254,663"," 4,457 ",
2008,8122 DEATH CARE SERVICES,"$101,242,754","$6,301,785","$409,628","$8,073","$417,701", 177 ,
2008,8123 DRYCLEANING & LAUNDRY SERVICES,"$308,996,219","$232,667,131","$15,123,389","$293,751","$15,417,140", 530 ,
2008,8129 OTHER PERSONAL SERVICES,"$901,022,389","$392,922,282","$25,541,615","$2,602,766","$28,144,381"," 3,613 ",
2008,"8130 RELIGIOUS, GRANTMAKING, CIVIC, PROFESSIONAL, & SIMILAR ORGANIZATIONS","$35,854,722","$5,336,677","$360,293","$25,269","$385,562", 256 ,
2008,8131 RELIGIOUS ORGANIZATIONS,"$54,263,066","$11,329,628","$737,485",$712,"$738,197", 306 ,
2008,8132 GRANTMAKING & GIVING SERVICES,"$44,944,939","$3,590,976","$235,808","$1,616","$237,424", 91 ,
2008,8133 SOCIAL ADVOCACY ORGANIZATIONS,"$11,381,754","$2,330,720","$153,507",$409,"$153,916", 48 ,
2008,8134 CIVIC & SOCIAL ORGANIZATIONS,"$302,897,716","$130,552,205","$10,208,366","$663,226","$10,871,592"," 1,112 ",
2008,"8139 BUSINESS, PROFESSIONAL, LABOR, POLITICAL, & SIMILAR ORGANIZATIONS","$170,590,136","$18,155,282","$1,214,334","$134,515","$1,348,849", 343 ,
2008,8141 PRIVATE HOUSEHOLDS,"$3,255,290","$997,888","$64,863","$6,000","$70,863", 53 ,
2008,"9210 EXECUTIVE, LEGISLATIVE, & OTHER GENERAL GOVERNMENT SUPPORT","$5,068,874","$553,317","$42,035","$28,982","$71,017", 11 ,
2008,"9211 EXECUTIVE, LEGISLATIVE, & OTHER GENERAL GOVERNMENT SUPPORT","$1,462,267,632","$488,932,199","$32,217,819","$23,750,849","$55,968,668", 849 ,
2008,"9221 JUSTICE, PUBLIC ORDER, & SAFETY ACTIVITIES","$513,338","$117,497","$7,639",$788,"$8,427", 13 ,
2008,9231 ADMINISTRATION OF HUMAN RESOURCE PROGRAMS,"$1,329,711","$286,917","$18,649","$14,930","$33,579", 16 ,
2008,9241 ADMINISTRATION OF ENVIRONMENTAL QUALITY PROGRAMS,"$40,684,896","$23,551,197","$1,530,827","$17,895","$1,548,722", 49 ,
2008,"9251 ADMINISTRATION OF HOUSING PROGRAMS, URBAN PLANNING, & COMMUNITY DEVELOPMENT","$903,127","$81,346","$5,290","$38,090","$43,380", 10 ,
2008,9261 ADMINISTRATION OF ECONOMIC PROGRAMS,"$6,062,830","$2,057,602","$133,742","$143,792","$277,534", 16 ,
2008,9999 UNDESIGNATED,"$102,012,989","$6,174,184","$401,563","$2,194,689","$2,596,252", 533 ,
,,"$291,681,003,598","$65,335,865,879","$4,325,158,105","$348,890,269","$4,674,048,374"," 159,897 ",
