periodyear,naicstitle,planning.region,wage.type,wages
2002,Support Activities for Crop Production,Northwest Minnesota,totwageYear,7495470
2002,Food Manufacturing,Northwest Minnesota,totwageYear,158506370
2002,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Northwest Minnesota,totwageYear,1689390
2002,Agricultural Implement Manufacturing,Northwest Minnesota,totwageYear,6055691
2002,Farm Product Raw Material Merchant Wholesalers,Northwest Minnesota,totwageYear,29156029
2002,Farm Supplies Merchant Wholesalers,Northwest Minnesota,totwageYear,23783709
2001,"Total, All Industries",Northwest Minnesota,totwageYear,4996295498
2001,Crop Production,Northwest Minnesota,totwageYear,31611479
2001,Animal Production and Aquaculture,Northwest Minnesota,totwageYear,22139648
2001,Support Activities for Crop Production,Northwest Minnesota,totwageYear,7056139
2001,Food Manufacturing,Northwest Minnesota,totwageYear,155872759
2001,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Northwest Minnesota,totwageYear,1733249
2001,Agricultural Implement Manufacturing,Northwest Minnesota,totwageYear,7777753
2001,Farm Product Raw Material Merchant Wholesalers,Northwest Minnesota,totwageYear,28022887
2001,Farm Supplies Merchant Wholesalers,Northwest Minnesota,totwageYear,22714896
2018,"Total, All Industries",Seven County Mpls-St Paul,totwageYear,114039835209
2018,Crop Production,Seven County Mpls-St Paul,totwageYear,87109254
2018,Animal Production and Aquaculture,Seven County Mpls-St Paul,totwageYear,8467573
2018,Support Activities for Crop Production,Seven County Mpls-St Paul,totwageYear,5380393
2018,Support Activities for Animal Production,Seven County Mpls-St Paul,totwageYear,5798184
2018,Food Manufacturing,Seven County Mpls-St Paul,totwageYear,561400385
2018,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Seven County Mpls-St Paul,totwageYear,5486992
2018,Agricultural Implement Manufacturing,Seven County Mpls-St Paul,totwageYear,11972167
2018,Farm Product Raw Material Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,464336768
2018,Farm Supplies Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,201543643
2017,"Total, All Industries",Seven County Mpls-St Paul,totwageYear,109457867502
2017,Crop Production,Seven County Mpls-St Paul,totwageYear,84599555
2017,Animal Production and Aquaculture,Seven County Mpls-St Paul,totwageYear,8032783
2017,Support Activities for Crop Production,Seven County Mpls-St Paul,totwageYear,5914805
2017,Support Activities for Animal Production,Seven County Mpls-St Paul,totwageYear,5565903
2017,Food Manufacturing,Seven County Mpls-St Paul,totwageYear,543308119
2017,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Seven County Mpls-St Paul,totwageYear,5644212
2017,Farm Product Raw Material Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,507730106
2017,Farm Supplies Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,187655586
2016,"Total, All Industries",Seven County Mpls-St Paul,totwageYear,103885975160
2016,Crop Production,Seven County Mpls-St Paul,totwageYear,76647767
2016,Animal Production and Aquaculture,Seven County Mpls-St Paul,totwageYear,7491272
2016,Support Activities for Crop Production,Seven County Mpls-St Paul,totwageYear,5767323
2016,Support Activities for Animal Production,Seven County Mpls-St Paul,totwageYear,4993939
2016,Food Manufacturing,Seven County Mpls-St Paul,totwageYear,551230860
2016,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Seven County Mpls-St Paul,totwageYear,4829898
2016,Farm Product Raw Material Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,443549172
2016,Farm Supplies Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,167901610
2015,"Total, All Industries",Seven County Mpls-St Paul,totwageYear,101065439446
2015,Crop Production,Seven County Mpls-St Paul,totwageYear,70308517
2015,Animal Production and Aquaculture,Seven County Mpls-St Paul,totwageYear,7896087
2015,Support Activities for Crop Production,Seven County Mpls-St Paul,totwageYear,4192299
2015,Support Activities for Animal Production,Seven County Mpls-St Paul,totwageYear,4649261
2015,Food Manufacturing,Seven County Mpls-St Paul,totwageYear,535049426
2015,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Seven County Mpls-St Paul,totwageYear,4765829
2015,Farm Product Raw Material Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,479234495
2015,Farm Supplies Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,158934981
2014,"Total, All Industries",Seven County Mpls-St Paul,totwageYear,95598596411
2014,Crop Production,Seven County Mpls-St Paul,totwageYear,64467239
2014,Animal Production and Aquaculture,Seven County Mpls-St Paul,totwageYear,7696174
2014,Support Activities for Crop Production,Seven County Mpls-St Paul,totwageYear,4648251
2014,Support Activities for Animal Production,Seven County Mpls-St Paul,totwageYear,4840674
2014,Food Manufacturing,Seven County Mpls-St Paul,totwageYear,535224839
2014,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Seven County Mpls-St Paul,totwageYear,4672483
2014,Farm Product Raw Material Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,469690871
2014,Farm Supplies Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,159937378
2013,"Total, All Industries",Seven County Mpls-St Paul,totwageYear,91638755748
2013,Crop Production,Seven County Mpls-St Paul,totwageYear,66465398
2013,Animal Production and Aquaculture,Seven County Mpls-St Paul,totwageYear,6544693
2013,Support Activities for Crop Production,Seven County Mpls-St Paul,totwageYear,6486684
2013,Support Activities for Animal Production,Seven County Mpls-St Paul,totwageYear,5119081
2013,Food Manufacturing,Seven County Mpls-St Paul,totwageYear,507795096
2013,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Seven County Mpls-St Paul,totwageYear,4538189
2013,Farm Product Raw Material Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,531704775
2013,Farm Supplies Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,150702333
2012,"Total, All Industries",Seven County Mpls-St Paul,totwageYear,89014244781
2012,Crop Production,Seven County Mpls-St Paul,totwageYear,65600090
2012,Animal Production and Aquaculture,Seven County Mpls-St Paul,totwageYear,4850879
2012,Support Activities for Crop Production,Seven County Mpls-St Paul,totwageYear,10401486
2012,Support Activities for Animal Production,Seven County Mpls-St Paul,totwageYear,4482879
2012,Food Manufacturing,Seven County Mpls-St Paul,totwageYear,448377019
2012,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Seven County Mpls-St Paul,totwageYear,4403053
2012,Farm Product Raw Material Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,488326114
2012,Farm Supplies Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,133381195
2011,"Total, All Industries",Seven County Mpls-St Paul,totwageYear,85060252743
2011,Crop Production,Seven County Mpls-St Paul,totwageYear,60388633
2011,Animal Production and Aquaculture,Seven County Mpls-St Paul,totwageYear,4332797
2011,Support Activities for Crop Production,Seven County Mpls-St Paul,totwageYear,5036783
2011,Support Activities for Animal Production,Seven County Mpls-St Paul,totwageYear,4452267
2011,Food Manufacturing,Seven County Mpls-St Paul,totwageYear,434598581
2011,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Seven County Mpls-St Paul,totwageYear,3847820
2011,Agricultural Implement Manufacturing,Seven County Mpls-St Paul,totwageYear,10693333
2011,Farm Product Raw Material Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,532814519
2011,Farm Supplies Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,127827669
2010,"Total, All Industries",Seven County Mpls-St Paul,totwageYear,81509860905
2010,Crop Production,Seven County Mpls-St Paul,totwageYear,61080851
2010,Animal Production and Aquaculture,Seven County Mpls-St Paul,totwageYear,4024147
2010,Support Activities for Crop Production,Seven County Mpls-St Paul,totwageYear,998797
2010,Support Activities for Animal Production,Seven County Mpls-St Paul,totwageYear,4867842
2010,Food Manufacturing,Seven County Mpls-St Paul,totwageYear,452269177
2010,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Seven County Mpls-St Paul,totwageYear,3815962
2010,Farm Product Raw Material Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,428823422
2010,Farm Supplies Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,119867269
2009,"Total, All Industries",Seven County Mpls-St Paul,totwageYear,79224688986
2009,Crop Production,Seven County Mpls-St Paul,totwageYear,63364918
2009,Animal Production and Aquaculture,Seven County Mpls-St Paul,totwageYear,4156429
2009,Support Activities for Crop Production,Seven County Mpls-St Paul,totwageYear,939188
2009,Support Activities for Animal Production,Seven County Mpls-St Paul,totwageYear,5166325
2009,Food Manufacturing,Seven County Mpls-St Paul,totwageYear,422734620
2009,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Seven County Mpls-St Paul,totwageYear,3311260
2009,Agricultural Implement Manufacturing,Seven County Mpls-St Paul,totwageYear,9787330
2009,Farm Product Raw Material Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,415137210
2009,Farm Supplies Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,125168732
2008,"Total, All Industries",Seven County Mpls-St Paul,totwageYear,84473682409
2008,Crop Production,Seven County Mpls-St Paul,totwageYear,62984011
2008,Animal Production and Aquaculture,Seven County Mpls-St Paul,totwageYear,4995423
2008,Support Activities for Crop Production,Seven County Mpls-St Paul,totwageYear,3631420
2008,Support Activities for Animal Production,Seven County Mpls-St Paul,totwageYear,3616227
2008,Food Manufacturing,Seven County Mpls-St Paul,totwageYear,420821336
2008,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Seven County Mpls-St Paul,totwageYear,3925278
2008,Agricultural Implement Manufacturing,Seven County Mpls-St Paul,totwageYear,11200064
2008,Farm Product Raw Material Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,364156916
2008,Farm Supplies Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,129489217
2007,"Total, All Industries",Seven County Mpls-St Paul,totwageYear,82491586289
2007,Crop Production,Seven County Mpls-St Paul,totwageYear,69151901
2007,Animal Production and Aquaculture,Seven County Mpls-St Paul,totwageYear,4225742
2007,Support Activities for Crop Production,Seven County Mpls-St Paul,totwageYear,3246945
2007,Support Activities for Animal Production,Seven County Mpls-St Paul,totwageYear,3732733
2007,Food Manufacturing,Seven County Mpls-St Paul,totwageYear,457372647
2007,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Seven County Mpls-St Paul,totwageYear,4070768
2007,Agricultural Implement Manufacturing,Seven County Mpls-St Paul,totwageYear,119849875
2007,Farm Product Raw Material Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,256041467
2007,Farm Supplies Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,125138097
2006,"Total, All Industries",Seven County Mpls-St Paul,totwageYear,77690747983
2006,Crop Production,Seven County Mpls-St Paul,totwageYear,67824565
2006,Animal Production and Aquaculture,Seven County Mpls-St Paul,totwageYear,1011267.3333333334
2006,Support Activities for Crop Production,Seven County Mpls-St Paul,totwageYear,3257562
2006,Support Activities for Animal Production,Seven County Mpls-St Paul,totwageYear,5846105
2006,Food Manufacturing,Seven County Mpls-St Paul,totwageYear,438895369
2006,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Seven County Mpls-St Paul,totwageYear,3436840
2006,Agricultural Implement Manufacturing,Seven County Mpls-St Paul,totwageYear,32023837.5
2006,Farm Product Raw Material Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,250168509
2006,Farm Supplies Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,120890777
2005,"Total, All Industries",Seven County Mpls-St Paul,totwageYear,74379206682
2005,Crop Production,Seven County Mpls-St Paul,totwageYear,64227113
2005,Animal Production and Aquaculture,Seven County Mpls-St Paul,totwageYear,3525952
2005,Support Activities for Crop Production,Seven County Mpls-St Paul,totwageYear,861662
2005,Support Activities for Animal Production,Seven County Mpls-St Paul,totwageYear,3721884
2005,Food Manufacturing,Seven County Mpls-St Paul,totwageYear,438463693
2005,Farm Product Raw Material Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,230630963
2005,Farm Supplies Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,107110614
2004,"Total, All Industries",Seven County Mpls-St Paul,totwageYear,72574210852
2004,Crop Production,Seven County Mpls-St Paul,totwageYear,66729148
2004,Animal Production and Aquaculture,Seven County Mpls-St Paul,totwageYear,3044858
2004,Support Activities for Animal Production,Seven County Mpls-St Paul,totwageYear,3790141
2004,Food Manufacturing,Seven County Mpls-St Paul,totwageYear,451486285
2004,Farm Product Raw Material Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,174961055
2004,Farm Supplies Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,118679666
2003,"Total, All Industries",Seven County Mpls-St Paul,totwageYear,68597513367
2003,Crop Production,Seven County Mpls-St Paul,totwageYear,57277740
2003,Animal Production and Aquaculture,Seven County Mpls-St Paul,totwageYear,3229703
2003,Support Activities for Animal Production,Seven County Mpls-St Paul,totwageYear,3555082
2003,Food Manufacturing,Seven County Mpls-St Paul,totwageYear,517525329
2003,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Seven County Mpls-St Paul,totwageYear,910029
2003,Farm Product Raw Material Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,151418740
2003,Farm Supplies Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,82681713
2002,"Total, All Industries",Seven County Mpls-St Paul,totwageYear,66784808586
2002,Crop Production,Seven County Mpls-St Paul,totwageYear,55131632
2002,Animal Production and Aquaculture,Seven County Mpls-St Paul,totwageYear,919828.5
2002,Support Activities for Animal Production,Seven County Mpls-St Paul,totwageYear,4128283
2002,Food Manufacturing,Seven County Mpls-St Paul,totwageYear,500971872
2002,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Seven County Mpls-St Paul,totwageYear,568841
2002,Farm Product Raw Material Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,132199645
2002,Farm Supplies Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,76724423
2001,"Total, All Industries",Seven County Mpls-St Paul,totwageYear,66767511603
2001,Crop Production,Seven County Mpls-St Paul,totwageYear,52935238
2001,Animal Production and Aquaculture,Seven County Mpls-St Paul,totwageYear,731888
2001,Support Activities for Crop Production,Seven County Mpls-St Paul,totwageYear,613769
2001,Support Activities for Animal Production,Seven County Mpls-St Paul,totwageYear,898805.3333333334
2001,Food Manufacturing,Seven County Mpls-St Paul,totwageYear,483175296
2001,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Seven County Mpls-St Paul,totwageYear,2588622
2001,Agricultural Implement Manufacturing,Seven County Mpls-St Paul,totwageYear,88608766
2001,Farm Product Raw Material Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,104748103
2001,Farm Supplies Merchant Wholesalers,Seven County Mpls-St Paul,totwageYear,62103056
2018,"Total, All Industries",Southeast Minnesota,totwageYear,12785765212
2018,Crop Production,Southeast Minnesota,totwageYear,23522263
2018,Animal Production and Aquaculture,Southeast Minnesota,totwageYear,71708312
2018,Support Activities for Crop Production,Southeast Minnesota,totwageYear,5153038
2018,Support Activities for Animal Production,Southeast Minnesota,totwageYear,2852707
2018,Food Manufacturing,Southeast Minnesota,totwageYear,576863722
2018,Agricultural Implement Manufacturing,Southeast Minnesota,totwageYear,3360084
2018,Farm Product Raw Material Merchant Wholesalers,Southeast Minnesota,totwageYear,31859524
2018,Farm Supplies Merchant Wholesalers,Southeast Minnesota,totwageYear,45691858
2017,"Total, All Industries",Southeast Minnesota,totwageYear,12084320710
2017,Crop Production,Southeast Minnesota,totwageYear,22241556
2017,Animal Production and Aquaculture,Southeast Minnesota,totwageYear,71240178
2017,Support Activities for Crop Production,Southeast Minnesota,totwageYear,6277819
2017,Support Activities for Animal Production,Southeast Minnesota,totwageYear,2892570
2017,Food Manufacturing,Southeast Minnesota,totwageYear,565587315
2017,Agricultural Implement Manufacturing,Southeast Minnesota,totwageYear,3220961
2017,Farm Product Raw Material Merchant Wholesalers,Southeast Minnesota,totwageYear,29187944
2017,Farm Supplies Merchant Wholesalers,Southeast Minnesota,totwageYear,43887756
2016,"Total, All Industries",Southeast Minnesota,totwageYear,11568166511
2016,Crop Production,Southeast Minnesota,totwageYear,22370754
2016,Animal Production and Aquaculture,Southeast Minnesota,totwageYear,70446815
2016,Support Activities for Crop Production,Southeast Minnesota,totwageYear,6432231
2016,Support Activities for Animal Production,Southeast Minnesota,totwageYear,2798437
2016,Food Manufacturing,Southeast Minnesota,totwageYear,539280532
2016,Agricultural Implement Manufacturing,Southeast Minnesota,totwageYear,2661334
2016,Farm Product Raw Material Merchant Wholesalers,Southeast Minnesota,totwageYear,28842624
2016,Farm Supplies Merchant Wholesalers,Southeast Minnesota,totwageYear,39943426
2015,"Total, All Industries",Southeast Minnesota,totwageYear,11164582783
2015,Crop Production,Southeast Minnesota,totwageYear,17914930
2015,Animal Production and Aquaculture,Southeast Minnesota,totwageYear,68557910
2015,Support Activities for Crop Production,Southeast Minnesota,totwageYear,6299326
2015,Support Activities for Animal Production,Southeast Minnesota,totwageYear,2587121
2015,Food Manufacturing,Southeast Minnesota,totwageYear,512410502
2015,Agricultural Implement Manufacturing,Southeast Minnesota,totwageYear,2210638
2015,Farm Product Raw Material Merchant Wholesalers,Southeast Minnesota,totwageYear,29090556
2015,Farm Supplies Merchant Wholesalers,Southeast Minnesota,totwageYear,35900933
2014,"Total, All Industries",Southeast Minnesota,totwageYear,10598867440
2014,Crop Production,Southeast Minnesota,totwageYear,16257793
2014,Animal Production and Aquaculture,Southeast Minnesota,totwageYear,63130473
2014,Support Activities for Crop Production,Southeast Minnesota,totwageYear,4574572
2014,Support Activities for Animal Production,Southeast Minnesota,totwageYear,614383
2014,Food Manufacturing,Southeast Minnesota,totwageYear,475223035
2014,Agricultural Implement Manufacturing,Southeast Minnesota,totwageYear,2245263
2014,Farm Product Raw Material Merchant Wholesalers,Southeast Minnesota,totwageYear,28476009
2014,Farm Supplies Merchant Wholesalers,Southeast Minnesota,totwageYear,32108345
2013,"Total, All Industries",Southeast Minnesota,totwageYear,10318075744
2013,Crop Production,Southeast Minnesota,totwageYear,18887615
2013,Animal Production and Aquaculture,Southeast Minnesota,totwageYear,58984102
2013,Support Activities for Crop Production,Southeast Minnesota,totwageYear,1082331.6666666667
2013,Support Activities for Animal Production,Southeast Minnesota,totwageYear,474538
2013,Food Manufacturing,Southeast Minnesota,totwageYear,470361396
2013,Agricultural Implement Manufacturing,Southeast Minnesota,totwageYear,1631736
2013,Farm Product Raw Material Merchant Wholesalers,Southeast Minnesota,totwageYear,28156012
2013,Farm Supplies Merchant Wholesalers,Southeast Minnesota,totwageYear,34269753
2012,"Total, All Industries",Southeast Minnesota,totwageYear,10030549750
2012,Crop Production,Southeast Minnesota,totwageYear,18093373
2012,Animal Production and Aquaculture,Southeast Minnesota,totwageYear,53524891
2012,Support Activities for Crop Production,Southeast Minnesota,totwageYear,3659283
2012,Food Manufacturing,Southeast Minnesota,totwageYear,454491161
2012,Agricultural Implement Manufacturing,Southeast Minnesota,totwageYear,2215974
2012,Farm Product Raw Material Merchant Wholesalers,Southeast Minnesota,totwageYear,25562983
2012,Farm Supplies Merchant Wholesalers,Southeast Minnesota,totwageYear,33315747
2011,"Total, All Industries",Southeast Minnesota,totwageYear,9586008311
2011,Crop Production,Southeast Minnesota,totwageYear,18067366
2011,Animal Production and Aquaculture,Southeast Minnesota,totwageYear,48465614
2011,Support Activities for Crop Production,Southeast Minnesota,totwageYear,962377
2011,Support Activities for Animal Production,Southeast Minnesota,totwageYear,479028
2011,Food Manufacturing,Southeast Minnesota,totwageYear,433889270
2011,Agricultural Implement Manufacturing,Southeast Minnesota,totwageYear,2186568
2011,Farm Product Raw Material Merchant Wholesalers,Southeast Minnesota,totwageYear,30268622
2011,Farm Supplies Merchant Wholesalers,Southeast Minnesota,totwageYear,30120287
2010,"Total, All Industries",Southeast Minnesota,totwageYear,9603872602
2010,Crop Production,Southeast Minnesota,totwageYear,16753403
2010,Animal Production and Aquaculture,Southeast Minnesota,totwageYear,43833286
2010,Support Activities for Crop Production,Southeast Minnesota,totwageYear,779097
2010,Support Activities for Animal Production,Southeast Minnesota,totwageYear,477539
2010,Food Manufacturing,Southeast Minnesota,totwageYear,420952457
2010,Agricultural Implement Manufacturing,Southeast Minnesota,totwageYear,1860372
2010,Farm Product Raw Material Merchant Wholesalers,Southeast Minnesota,totwageYear,28682781
2010,Farm Supplies Merchant Wholesalers,Southeast Minnesota,totwageYear,28273118
2009,"Total, All Industries",Southeast Minnesota,totwageYear,9104039845
2009,Crop Production,Southeast Minnesota,totwageYear,15713948
2009,Animal Production and Aquaculture,Southeast Minnesota,totwageYear,42586537
2009,Support Activities for Crop Production,Southeast Minnesota,totwageYear,828237
2009,Support Activities for Animal Production,Southeast Minnesota,totwageYear,628340.3333333334
2009,Food Manufacturing,Southeast Minnesota,totwageYear,411894881
2009,Agricultural Implement Manufacturing,Southeast Minnesota,totwageYear,1819375
2009,Farm Product Raw Material Merchant Wholesalers,Southeast Minnesota,totwageYear,28055705
2009,Farm Supplies Merchant Wholesalers,Southeast Minnesota,totwageYear,29315505
2008,"Total, All Industries",Southeast Minnesota,totwageYear,9266272372
2008,Crop Production,Southeast Minnesota,totwageYear,13898076
2008,Animal Production and Aquaculture,Southeast Minnesota,totwageYear,42138962
2008,Support Activities for Animal Production,Southeast Minnesota,totwageYear,2849791
2008,Food Manufacturing,Southeast Minnesota,totwageYear,402709701
2008,Agricultural Implement Manufacturing,Southeast Minnesota,totwageYear,2003939
2008,Farm Product Raw Material Merchant Wholesalers,Southeast Minnesota,totwageYear,27478979
2008,Farm Supplies Merchant Wholesalers,Southeast Minnesota,totwageYear,28114971
2007,"Total, All Industries",Southeast Minnesota,totwageYear,8920526611
2007,Crop Production,Southeast Minnesota,totwageYear,12474872
2007,Animal Production and Aquaculture,Southeast Minnesota,totwageYear,39751051
2007,Support Activities for Animal Production,Southeast Minnesota,totwageYear,2104462
2007,Food Manufacturing,Southeast Minnesota,totwageYear,407600421
2007,Agricultural Implement Manufacturing,Southeast Minnesota,totwageYear,1589334
2007,Farm Product Raw Material Merchant Wholesalers,Southeast Minnesota,totwageYear,27646027
2007,Farm Supplies Merchant Wholesalers,Southeast Minnesota,totwageYear,24306240
2006,"Total, All Industries",Southeast Minnesota,totwageYear,8568454139
2006,Crop Production,Southeast Minnesota,totwageYear,12271148
2006,Animal Production and Aquaculture,Southeast Minnesota,totwageYear,36527273
2006,Support Activities for Crop Production,Southeast Minnesota,totwageYear,191415
2006,Support Activities for Animal Production,Southeast Minnesota,totwageYear,1994402
2006,Food Manufacturing,Southeast Minnesota,totwageYear,405591612
2006,Agricultural Implement Manufacturing,Southeast Minnesota,totwageYear,1505017
2006,Farm Product Raw Material Merchant Wholesalers,Southeast Minnesota,totwageYear,24369967
2006,Farm Supplies Merchant Wholesalers,Southeast Minnesota,totwageYear,22556831
2005,"Total, All Industries",Southeast Minnesota,totwageYear,8114744584
2005,Crop Production,Southeast Minnesota,totwageYear,10427582
2005,Animal Production and Aquaculture,Southeast Minnesota,totwageYear,33189406
2005,Support Activities for Crop Production,Southeast Minnesota,totwageYear,1046757
2005,Support Activities for Animal Production,Southeast Minnesota,totwageYear,1907938
2005,Food Manufacturing,Southeast Minnesota,totwageYear,418397029
2005,Agricultural Implement Manufacturing,Southeast Minnesota,totwageYear,1563900
2005,Farm Product Raw Material Merchant Wholesalers,Southeast Minnesota,totwageYear,20224272
2005,Farm Supplies Merchant Wholesalers,Southeast Minnesota,totwageYear,22705230
2004,"Total, All Industries",Southeast Minnesota,totwageYear,7920183796
2004,Crop Production,Southeast Minnesota,totwageYear,10527174
2004,Animal Production and Aquaculture,Southeast Minnesota,totwageYear,33870550
2004,Support Activities for Crop Production,Southeast Minnesota,totwageYear,900250
2004,Support Activities for Animal Production,Southeast Minnesota,totwageYear,1108477
2004,Food Manufacturing,Southeast Minnesota,totwageYear,422017152
2004,Agricultural Implement Manufacturing,Southeast Minnesota,totwageYear,1729430
2004,Farm Product Raw Material Merchant Wholesalers,Southeast Minnesota,totwageYear,23279859
2004,Farm Supplies Merchant Wholesalers,Southeast Minnesota,totwageYear,22511190
2003,"Total, All Industries",Southeast Minnesota,totwageYear,7536932819
2003,Crop Production,Southeast Minnesota,totwageYear,10693171
2003,Animal Production and Aquaculture,Southeast Minnesota,totwageYear,31909304
2003,Support Activities for Crop Production,Southeast Minnesota,totwageYear,1062188
2003,Support Activities for Animal Production,Southeast Minnesota,totwageYear,943600
2003,Food Manufacturing,Southeast Minnesota,totwageYear,415069011
2003,Agricultural Implement Manufacturing,Southeast Minnesota,totwageYear,1542193
2003,Farm Product Raw Material Merchant Wholesalers,Southeast Minnesota,totwageYear,23270641
2003,Farm Supplies Merchant Wholesalers,Southeast Minnesota,totwageYear,20371228
2002,"Total, All Industries",Southeast Minnesota,totwageYear,7314391530
2002,Crop Production,Southeast Minnesota,totwageYear,10501023
2002,Animal Production and Aquaculture,Southeast Minnesota,totwageYear,30472862
2002,Support Activities for Animal Production,Southeast Minnesota,totwageYear,998396
2002,Food Manufacturing,Southeast Minnesota,totwageYear,398768447
2002,Agricultural Implement Manufacturing,Southeast Minnesota,totwageYear,1467911
2002,Farm Product Raw Material Merchant Wholesalers,Southeast Minnesota,totwageYear,22826793
2002,Farm Supplies Merchant Wholesalers,Southeast Minnesota,totwageYear,19914768
2001,"Total, All Industries",Southeast Minnesota,totwageYear,7051762968
2001,Crop Production,Southeast Minnesota,totwageYear,9333329
2001,Animal Production and Aquaculture,Southeast Minnesota,totwageYear,28013572
2001,Support Activities for Crop Production,Southeast Minnesota,totwageYear,324725.6666666667
2001,Support Activities for Animal Production,Southeast Minnesota,totwageYear,204337
2001,Food Manufacturing,Southeast Minnesota,totwageYear,379853241
2001,Agricultural Implement Manufacturing,Southeast Minnesota,totwageYear,2695764
2001,Farm Product Raw Material Merchant Wholesalers,Southeast Minnesota,totwageYear,22577675
2001,Farm Supplies Merchant Wholesalers,Southeast Minnesota,totwageYear,18185964
2018,"Total, All Industries",Southwest Minnesota,totwageYear,7395247152
2018,Crop Production,Southwest Minnesota,totwageYear,32531727
2018,Animal Production and Aquaculture,Southwest Minnesota,totwageYear,167292455
2018,Support Activities for Crop Production,Southwest Minnesota,totwageYear,17849762
2018,Support Activities for Animal Production,Southwest Minnesota,totwageYear,10907334
2018,Food Manufacturing,Southwest Minnesota,totwageYear,573478909
2018,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Southwest Minnesota,totwageYear,2089346
2018,Farm Product Raw Material Merchant Wholesalers,Southwest Minnesota,totwageYear,100143623
2018,Farm Supplies Merchant Wholesalers,Southwest Minnesota,totwageYear,102621751
2017,"Total, All Industries",Southwest Minnesota,totwageYear,7187135436
2017,Crop Production,Southwest Minnesota,totwageYear,31236015
2017,Animal Production and Aquaculture,Southwest Minnesota,totwageYear,181837132
2017,Support Activities for Crop Production,Southwest Minnesota,totwageYear,19047311
2017,Support Activities for Animal Production,Southwest Minnesota,totwageYear,11025418
2017,Food Manufacturing,Southwest Minnesota,totwageYear,571577800
2017,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Southwest Minnesota,totwageYear,1686236
2017,Farm Product Raw Material Merchant Wholesalers,Southwest Minnesota,totwageYear,98535462
2017,Farm Supplies Merchant Wholesalers,Southwest Minnesota,totwageYear,95849728
2016,"Total, All Industries",Southwest Minnesota,totwageYear,6882834811
2016,Crop Production,Southwest Minnesota,totwageYear,28113993
2016,Animal Production and Aquaculture,Southwest Minnesota,totwageYear,161884456
2016,Support Activities for Crop Production,Southwest Minnesota,totwageYear,16978882
2016,Support Activities for Animal Production,Southwest Minnesota,totwageYear,2734431.5
