periodyear,naicstitle,Dem_Desc,emp
2016,"Total, All Industries",Entirely urban,1907215
2016,"Total, All Industries",Town/rural mix,340507
2016,"Total, All Industries",Urban/town/rural mix,476746
2017,Agricultural Implement Manufacturing,Entirely urban,118
2017,Agricultural Implement Manufacturing,Town/rural mix,165
2017,Animal Production and Aquaculture,Entirely rural,447
2017,Animal Production and Aquaculture,Entirely urban,794
2017,Animal Production and Aquaculture,Town/rural mix,4990
2017,Animal Production and Aquaculture,Urban/town/rural mix,4357
2017,Crop Production,Entirely rural,571
2017,Crop Production,Entirely urban,2995
2017,Crop Production,Town/rural mix,1537
2017,Crop Production,Urban/town/rural mix,1544
2017,Farm Product Raw Material Merchant Wholesalers,Entirely rural,283
2017,Farm Product Raw Material Merchant Wholesalers,Entirely urban,3631
2017,Farm Product Raw Material Merchant Wholesalers,Town/rural mix,1509
2017,Farm Product Raw Material Merchant Wholesalers,Urban/town/rural mix,888
2017,Farm Supplies Merchant Wholesalers,Entirely rural,238
2017,Farm Supplies Merchant Wholesalers,Entirely urban,1477
2017,Farm Supplies Merchant Wholesalers,Town/rural mix,649
2017,Farm Supplies Merchant Wholesalers,Urban/town/rural mix,888
2017,Food Manufacturing,Entirely rural,180
2017,Food Manufacturing,Entirely urban,14361
2017,Food Manufacturing,Town/rural mix,12869
2017,Food Manufacturing,Urban/town/rural mix,14141
2017,Support Activities for Animal Production,Entirely urban,192
2017,Support Activities for Animal Production,Town/rural mix,20
2017,Support Activities for Animal Production,Urban/town/rural mix,109
2017,Support Activities for Crop Production,Entirely rural,55
2017,Support Activities for Crop Production,Entirely urban,95
2017,Support Activities for Crop Production,Town/rural mix,137
2017,Support Activities for Crop Production,Urban/town/rural mix,110
2017,"Total, All Industries",Entirely rural,32474
2017,"Total, All Industries",Entirely urban,1943875
2017,"Total, All Industries",Town/rural mix,342261
2017,"Total, All Industries",Urban/town/rural mix,480759
2018,Agricultural Implement Manufacturing,Entirely urban,159
2018,Agricultural Implement Manufacturing,Town/rural mix,62
2018,Animal Production and Aquaculture,Entirely rural,365
2018,Animal Production and Aquaculture,Entirely urban,768
2018,Animal Production and Aquaculture,Town/rural mix,4931
2018,Animal Production and Aquaculture,Urban/town/rural mix,4327
2018,Crop Production,Entirely rural,549
2018,Crop Production,Entirely urban,3037
2018,Crop Production,Town/rural mix,1457
2018,Crop Production,Urban/town/rural mix,1611
2018,Farm Product Raw Material Merchant Wholesalers,Entirely rural,274
2018,Farm Product Raw Material Merchant Wholesalers,Entirely urban,2460
2018,Farm Product Raw Material Merchant Wholesalers,Town/rural mix,1446
2018,Farm Product Raw Material Merchant Wholesalers,Urban/town/rural mix,831
2018,Farm Supplies Merchant Wholesalers,Entirely rural,192
2018,Farm Supplies Merchant Wholesalers,Entirely urban,1633
2018,Farm Supplies Merchant Wholesalers,Town/rural mix,696
2018,Farm Supplies Merchant Wholesalers,Urban/town/rural mix,865
2018,Food Manufacturing,Entirely rural,6
2018,Food Manufacturing,Entirely urban,14256
2018,Food Manufacturing,Town/rural mix,13010
2018,Food Manufacturing,Urban/town/rural mix,11612
2018,Support Activities for Animal Production,Entirely urban,204
2018,Support Activities for Animal Production,Town/rural mix,18
2018,Support Activities for Animal Production,Urban/town/rural mix,126
2018,Support Activities for Crop Production,Entirely rural,91
2018,Support Activities for Crop Production,Entirely urban,86
2018,Support Activities for Crop Production,Town/rural mix,185
2018,Support Activities for Crop Production,Urban/town/rural mix,56
2018,"Total, All Industries",Entirely rural,32239
2018,"Total, All Industries",Entirely urban,1969020
2018,"Total, All Industries",Town/rural mix,344012
2018,"Total, All Industries",Urban/town/rural mix,481473
